Time,GC Util
0,0
0,0
611,82
611,82
614,72
614,72
616,78
616,78
618,137
618,137
620,117
620,117
623,14
623,14
1257,147
1257,147
1423,159
1423,159
1468,129
1468,129
1512,155
1512,155
1531,161
1531,161
1551,168
1551,168
1569,163
1569,163
1587,161
1587,161
1606,194
1606,194
1640,170
1640,170
1664,254
1664,254
1710,261
1710,261
1749,243
1749,243
1801,274
1801,274
1841,283
1841,283
1864,316
1864,316
1883,336
1883,336
1906,325
1906,325
1935,344
1935,344
1972,398
1972,398
2003,385
2003,385
2036,400
2036,400
2063,412
2063,412
2090,445
2090,445
2127,471
2127,471
2181,476
2181,476
2286,504
2286,504
2428,506
