Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
30486.0,79.0,100,100.0,100
43727.0,90.0,100,100.0,100
46593.0,89.0,100,100.0,100
46969.0,32.0,100,100.0,100
47043.0,123.0,100,100.0,100
47179.0,27.0,100,100.0,100
47229.0,86.0,100,100.0,100
47267.0,129.0,100,100.0,100
47410.0,0.0,100,100.0,100
47463.0,117.0,100,100.0,100
47518.0,0.0,100,100.0,100
47635.0,95.0,100,100.0,100
47840.0,96.0,100,100.0,100
47908.0,95.0,100,100.0,100
48036.0,107.0,100,25.0,100
48073.0,142.0,100,100.0,100
48273.0,96.0,100,100.0,100
48416.0,141.0,100,100.0,100
48514.0,128.0,100,100.0,100
48604.0,33.0,100,100.0,100
48677.0,32.0,100,25.0,100
48720.0,36.0,100,100.0,100
48913.0,38.0,100,100.0,100
48948.0,36.0,100,100.0,100
49180.0,33.0,100,100.0,100
49302.0,34.0,100,25.0,100
49400.0,32.0,100,100.0,100
49589.0,39.0,100,100.0,100
49782.0,34.0,100,100.0,100
49812.0,36.0,100,100.0,100
49875.0,43.0,100,25.0,100
49952.0,37.0,100,25.0,100
50100.0,62.0,100,25.0,100
50171.0,66.0,100,100.0,100
50247.0,60.0,100,25.0,100
50294.0,69.0,100,25.0,100
50415.0,0.0,100,100.0,100
50474.0,0.0,100,100.0,100
50558.0,0.0,100,100.0,100
50754.0,61.0,100,25.0,100
51158.0,68.0,100,25.0,100
51319.0,40.0,100,25.0,100
51394.0,0.0,100,100.0,100
51421.0,170.0,100,25.0,100
51449.0,59.0,100,100.0,100
51506.0,54.0,100,100.0,100
51568.0,54.0,100,25.0,100
51639.0,0.0,100,100.0,100
51737.0,61.0,100,100.0,100
51895.0,55.0,100,25.0,100
52094.0,63.0,100,100.0,100
53808.0,55.0,100,25.0,100
53844.0,40.0,100,25.0,100
53880.0,31.0,100,100.0,100
53905.0,35.0,100,100.0,100
53931.0,55.0,100,25.0,100
53958.0,65.0,100,25.0,100
53997.0,31.0,100,100.0,100
54020.0,46.0,100,25.0,100
54047.0,45.0,100,25.0,100
54073.0,24.0,100,25.0,100
54100.0,44.0,100,25.0,100
54126.0,46.0,100,25.0,100
54152.0,46.0,100,100.0,100
54173.0,42.0,100,25.0,100
54200.0,43.0,100,25.0,100
54222.0,137.0,100,100.0,100
54234.0,56.0,100,100.0,100
54253.0,49.0,100,25.0,100
54273.0,0.0,100,100.0,100
54293.0,23.0,100,100.0,100
54313.0,31.0,100,100.0,100
54335.0,37.0,100,100.0,100
54367.0,0.0,100,100.0,100
54392.0,33.0,100,25.0,100
54415.0,119.0,100,100.0,100
54439.0,51.0,100,100.0,100
54462.0,51.0,100,25.0,100
54484.0,56.0,100,25.0,100
54504.0,55.0,100,25.0,100
54525.0,77.0,100,25.0,100
54546.0,67.0,100,100.0,100
54570.0,39.0,100,25.0,100
54584.0,111.0,100,100.0,100
54596.0,47.0,100,100.0,100
54615.0,46.0,100,25.0,100
54638.0,38.0,100,25.0,100
54661.0,46.0,100,100.0,100
54680.0,55.0,100,25.0,100
54696.0,58.0,100,25.0,100
54712.0,53.0,100,25.0,100
54853.0,57.0,100,25.0,100
54911.0,62.0,100,100.0,100
55011.0,56.0,100,25.0,100
55058.0,58.0,100,25.0,100
55102.0,55.0,100,25.0,100
55132.0,50.0,100,25.0,100
55149.0,101.0,100,100.0,100
55161.0,52.0,100,100.0,100
55184.0,53.0,100,100.0,100
55208.0,54.0,100,25.0,100
55230.0,64.0,100,25.0,100
55253.0,45.0,100,25.0,100
55276.0,63.0,100,100.0,100
55298.0,33.0,100,25.0,100
55320.0,62.0,100,25.0,100
55342.0,69.0,100,25.0,100
55366.0,85.0,100,25.0,100
55393.0,71.0,100,25.0,100
55417.0,80.0,100,25.0,100
55440.0,69.0,100,100.0,100
55462.0,63.0,100,25.0,100
55546.0,65.0,100,25.0,100
55610.0,71.0,100,25.0,100
55655.0,44.0,100,25.0,100
57074.0,41.0,100,100.0,100
57095.0,62.0,100,25.0,100
57112.0,89.0,100,25.0,100
57129.0,64.0,100,25.0,100
57912.0,74.0,100,25.0,100
58020.0,66.0,100,25.0,100
58119.0,65.0,100,25.0,100
58242.0,69.0,100,25.0,100
58369.0,62.0,100,100.0,100
58526.0,60.0,100,25.0,100
58604.0,91.0,100,100.0,100
58711.0,43.0,100,100.0,100
58815.0,56.0,100,25.0,100
58870.0,72.0,100,25.0,100
58922.0,80.0,100,25.0,100
58974.0,61.0,100,25.0,100
59002.0,138.0,100,100.0,100
59028.0,67.0,100,100.0,100
59159.0,60.0,100,100.0,100
59608.0,66.0,100,100.0,100
59895.0,51.0,100,100.0,100
61050.0,56.0,100,25.0,100
61128.0,77.0,100,100.0,100
61153.0,0.0,100,100.0,100
61196.0,56.0,100,100.0,100
61294.0,59.0,100,100.0,100
61344.0,46.0,100,100.0,100
61391.0,53.0,100,100.0,100
61544.0,91.0,100,25.0,100
61693.0,93.0,100,100.0,100
62390.0,31.0,100,100.0,100
62464.0,64.0,100,25.0,100
62526.0,36.0,100,100.0,100
62711.0,76.0,100,25.0,100
62827.0,57.0,100,100.0,100
62850.0,67.0,100,25.0,100
62888.0,89.0,100,25.0,100
62901.0,160.0,100,100.0,100
62911.0,69.0,100,100.0,100
62934.0,93.0,100,25.0,100
62962.0,59.0,100,100.0,100
62983.0,74.0,100,25.0,100
63008.0,89.0,100,25.0,100
63135.0,54.0,100,100.0,100
63222.0,72.0,100,25.0,100
63280.0,48.0,100,100.0,100
63309.0,74.0,100,25.0,100
63335.0,65.0,100,25.0,100
63352.0,105.0,100,100.0,100
63440.0,51.0,100,100.0,100
63511.0,59.0,100,25.0,100
63565.0,53.0,100,25.0,100
63735.0,47.0,100,100.0,100
64030.0,79.0,100,25.0,100
64115.0,41.0,100,25.0,100
64168.0,54.0,100,100.0,100
64219.0,91.0,100,25.0,100
64279.0,66.0,100,100.0,100
64334.0,74.0,100,25.0,100
64388.0,55.0,100,25.0,100
64442.0,79.0,100,25.0,100
64471.0,28.0,100,100.0,100
64496.0,55.0,100,100.0,100
64517.0,0.0,100,100.0,100
64536.0,61.0,100,25.0,100
64554.0,67.0,100,25.0,100
64573.0,50.0,100,100.0,100
64590.0,68.0,100,25.0,100
64608.0,81.0,100,25.0,100
64626.0,84.0,100,100.0,100
64654.0,69.0,100,25.0,100
64687.0,84.0,100,25.0,100
64860.0,74.0,100,25.0,100
64872.0,53.0,100,100.0,100
64887.0,67.0,100,100.0,100
64902.0,71.0,100,100.0,100
64915.0,48.0,100,25.0,100
64928.0,39.0,100,100.0,100
64941.0,63.0,100,25.0,100
64955.0,72.0,100,100.0,100
64968.0,72.0,100,25.0,100
64976.0,0.0,100,100.0,100
64983.0,75.0,100,100.0,100
64994.0,54.0,100,25.0,100
65006.0,0.0,100,100.0,100
65017.0,34.0,100,100.0,100
65028.0,59.0,100,25.0,100
65042.0,55.0,100,100.0,100
65055.0,62.0,100,100.0,100
65067.0,69.0,100,100.0,100
65079.0,78.0,100,100.0,100
65091.0,57.0,100,25.0,100
65103.0,60.0,100,100.0,100
65115.0,70.0,100,100.0,100
65125.0,54.0,100,25.0,100
65137.0,162.0,100,25.0,100
65149.0,151.0,100,25.0,100
65157.0,0.0,100,100.0,100
65165.0,173.0,100,25.0,100
65176.0,282.0,100,25.0,100
65188.0,201.0,100,25.0,100
65204.0,138.0,100,100.0,100
65217.0,174.0,100,25.0,100
65229.0,151.0,100,25.0,100
65240.0,155.0,100,25.0,100
65251.0,171.0,100,25.0,100
65262.0,164.0,100,25.0,100
65273.0,171.0,100,100.0,100
65284.0,160.0,100,25.0,100
65294.0,183.0,100,25.0,100
65304.0,165.0,100,25.0,100
65315.0,162.0,100,25.0,100
65326.0,173.0,100,25.0,100
65334.0,212.0,100,100.0,100
65341.0,177.0,100,25.0,100
65351.0,308.0,100,25.0,100
65362.0,193.0,100,100.0,100
65376.0,170.0,100,100.0,100
65387.0,162.0,100,25.0,100
65427.0,151.0,100,25.0,100
65469.0,100.0,100,100.0,100
65508.0,0.0,100,100.0,100
65543.0,44.0,100,100.0,100
65572.0,43.0,100,100.0,100
65583.0,46.0,100,25.0,100
65593.0,167.0,100,25.0,100
65603.0,152.0,100,25.0,100
65614.0,161.0,100,25.0,100
65624.0,150.0,100,25.0,100
65631.0,227.0,100,100.0,100
65639.0,155.0,100,25.0,100
65649.0,291.0,100,100.0,100
65660.0,136.0,100,25.0,100
65670.0,0.0,100,100.0,100
65681.0,215.0,100,25.0,100
65691.0,308.0,100,25.0,100
65701.0,284.0,100,25.0,100
65711.0,287.0,100,25.0,100
65721.0,282.0,100,25.0,100
65739.0,317.0,100,100.0,100
65766.0,154.0,100,100.0,100
65796.0,211.0,100,100.0,100
65825.0,155.0,100,100.0,100
65995.0,150.0,100,25.0,100
66004.0,265.0,100,25.0,100
66013.0,305.0,100,100.0,100
66144.0,154.0,100,25.0,100
66163.0,275.0,100,25.0,100
66182.0,254.0,100,100.0,100
66208.0,214.0,100,100.0,100
66233.0,162.0,100,25.0,100
66256.0,306.0,100,100.0,100
66287.0,156.0,100,25.0,100
66330.0,305.0,100,25.0,100
66378.0,245.0,100,25.0,100
66419.0,69.0,100,100.0,100
66449.0,57.0,100,25.0,100
66496.0,51.0,100,25.0,100
