Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
69.0,0.0,100,100,100
113.0,25.0,100,100.0,0.05
126.0,41.0,100,100.0,10.0
446.0,0.0,100,100.0,13.2
2916.0,0.0,100,100.0,10.0
5269.0,0.0,100,100.0,10.0
8437.0,0.0,100,100.0,10.0
10700.0,0.0,100,100.0,10.0
10729.0,2.0,100,100.0,10.0
10730.0,57.0,100,100.0,10.0
10732.0,49.0,100,100.0,10.0
10733.0,71.0,100,100.0,10.0
10734.0,57.0,100,100.0,10.0
10735.0,38.0,100,25.0,10.0
10735.0,34.0,100,100.0,10.0
10736.0,38.0,100,100.0,10.0
10737.0,37.0,100,100.0,10.0
10738.0,37.0,100,100.0,10.0
10739.0,37.0,100,100.0,10.0
10740.0,40.0,100,100.0,10.0
10741.0,37.0,100,100.0,10.0
10741.0,37.0,100,100.0,10.0
10742.0,36.0,100,100.0,10.0
10743.0,35.0,100,100.0,10.0
10744.0,38.0,100,100.0,10.0
10745.0,37.0,100,100.0,10.0
10746.0,36.0,100,100.0,10.0
10746.0,37.0,100,25.0,10.0
10747.0,33.0,100,100.0,10.0
10748.0,37.0,100,100.0,10.0
10749.0,37.0,100,100.0,10.0
10750.0,37.0,100,100.0,10.0
10751.0,37.0,100,100.0,10.0
10752.0,38.0,100,100.0,10.0
10752.0,36.0,100,100.0,10.0
10753.0,38.0,100,100.0,10.0
10754.0,37.0,100,100.0,10.0
10755.0,38.0,100,100.0,10.0
10756.0,37.0,100,100.0,10.0
10757.0,38.0,100,100.0,10.0
10757.0,37.0,100,100.0,10.0
10758.0,37.0,100,100.0,10.0
10759.0,37.0,100,100.0,10.0
10760.0,37.0,100,100.0,10.0
10761.0,37.0,100,100.0,10.0
10762.0,38.0,100,100.0,10.0
10763.0,37.0,100,100.0,10.0
10767.0,6.0,100,100.0,10.0
10770.0,65.0,100,100.0,10.0
10774.0,62.0,100,100.0,10.0
10777.0,62.0,100,100.0,10.0
10780.0,54.0,100,100.0,10.0
10784.0,55.0,100,100.0,10.0
10788.0,46.0,100,100.0,10.0
10792.0,49.0,100,100.0,10.0
10797.0,36.0,100,100.0,10.0
10802.0,43.0,100,100.0,10.0
10808.0,32.0,100,100.0,10.0
10836.0,96.0,453.12,100.0,10.0
13165.0,0.0,453.12,100.0,10.0
13351.0,4.0,453.12,100.0,10.0
13450.0,7.0,453.12,100.0,10.0
13583.0,5.0,453.12,100.0,10.0
13636.0,14.0,453.12,100.0,10.0
13673.0,50.0,453.12,100.0,10.0
13732.0,27.0,453.12,100.0,28.8
13872.0,150.0,514.06,100.0,10.8
13952.0,41.0,514.06,100.0,10.8
14012.0,36.0,514.06,100.0,42.8
14078.0,128.0,537.5,100.0,24.4
14126.0,14.0,537.5,100.0,24.4
14195.0,185.0,554.69,100.0,10.0
14280.0,4.0,552.34,100.0,10.0
14339.0,137.0,552.34,100.0,10.0
14409.0,21.0,552.34,100.0,175.6
14482.0,14.0,552.34,100.0,10.0
14566.0,11.0,552.34,100.0,10.0
14597.0,21.0,552.34,100.0,10.0
14656.0,15.0,552.34,100.0,10.0
14722.0,17.0,552.34,100.0,10.0
14825.0,13.0,552.34,100.0,10.0
14907.0,17.0,552.34,100.0,10.0
14993.0,13.0,552.34,100.0,10.0
15060.0,14.0,552.34,100.0,10.0
15142.0,6.0,552.34,100.0,10.0
