Run,Time,JVM
1,19843,JDK2-3-2
2,19045,JDK2-3-2
3,19518,JDK2-3-2
4,18926,JDK2-3-2
5,19426,JDK2-3-2
6,19375,JDK2-3-2
7,18501,JDK2-3-2
8,19170,JDK2-3-2
9,19640,JDK2-3-2
10,19841,JDK2-3-2
11,18977,JDK2-3-2
12,18579,JDK2-3-2
13,20305,JDK2-3-2
14,19187,JDK2-3-2
15,18723,JDK2-3-2
16,18649,JDK2-3-2
1,18720,JDK5-6-7
2,19495,JDK5-6-7
3,18591,JDK5-6-7
4,19319,JDK5-6-7
5,19210,JDK5-6-7
6,19554,JDK5-6-7
7,19294,JDK5-6-7
8,18252,JDK5-6-7
9,18796,JDK5-6-7
10,18614,JDK5-6-7
11,18336,JDK5-6-7
12,19320,JDK5-6-7
13,18317,JDK5-6-7
14,18620,JDK5-6-7
15,18948,JDK5-6-7
16,19586,JDK5-6-7
1,22332,JDK2-2-2
2,22560,JDK2-2-2
3,23310,JDK2-2-2
4,22941,JDK2-2-2
5,22276,JDK2-2-2
6,23354,JDK2-2-2
7,25058,JDK2-2-2
8,23269,JDK2-2-2
9,24592,JDK2-2-2
10,23619,JDK2-2-2
11,23501,JDK2-2-2
12,22147,JDK2-2-2
13,23036,JDK2-2-2
14,22819,JDK2-2-2
15,21172,JDK2-2-2
16,22260,JDK2-2-2
1,23442,JDK1-1-3
2,22891,JDK1-1-3
3,24240,JDK1-1-3
4,22960,JDK1-1-3
5,23424,JDK1-1-3
6,23384,JDK1-1-3
7,23739,JDK1-1-3
8,23591,JDK1-1-3
9,22360,JDK1-1-3
10,23190,JDK1-1-3
11,23466,JDK1-1-3
12,23325,JDK1-1-3
13,23714,JDK1-1-3
14,23356,JDK1-1-3
15,23387,JDK1-1-3
16,22549,JDK1-1-3
1,18701,JDK3-2-3
2,19751,JDK3-2-3
3,19958,JDK3-2-3
4,18902,JDK3-2-3
5,18899,JDK3-2-3
6,19102,JDK3-2-3
7,19511,JDK3-2-3
8,19707,JDK3-2-3
9,19672,JDK3-2-3
10,19535,JDK3-2-3
11,19351,JDK3-2-3
12,18907,JDK3-2-3
13,19201,JDK3-2-3
14,19348,JDK3-2-3
15,18835,JDK3-2-3
16,18886,JDK3-2-3
1,18726,JDK5-4-4
2,18613,JDK5-4-4
3,19159,JDK5-4-4
4,18866,JDK5-4-4
5,19574,JDK5-4-4
6,20198,JDK5-4-4
7,18490,JDK5-4-4
8,19024,JDK5-4-4
9,18647,JDK5-4-4
10,18420,JDK5-4-4
11,19460,JDK5-4-4
12,19190,JDK5-4-4
13,18842,JDK5-4-4
14,19173,JDK5-4-4
15,18279,JDK5-4-4
16,18347,JDK5-4-4
1,18616,JDKF
2,18420,JDKF
3,18714,JDKF
4,18227,JDKF
5,19029,JDKF
6,17979,JDKF
7,19064,JDKF
8,19222,JDKF
9,18465,JDKF
10,18695,JDKF
11,17554,JDKF
12,17984,JDKF
13,18889,JDKF
14,18955,JDKF
15,19048,JDKF
16,19955,JDKF
1,19005,JDK8-9-9
2,18954,JDK8-9-9
3,18919,JDK8-9-9
4,18474,JDK8-9-9
5,18650,JDK8-9-9
6,18855,JDK8-9-9
7,18746,JDK8-9-9
8,19426,JDK8-9-9
9,18803,JDK8-9-9
10,19378,JDK8-9-9
11,19314,JDK8-9-9
12,19232,JDK8-9-9
13,18565,JDK8-9-9
14,19117,JDK8-9-9
15,19243,JDK8-9-9
16,19515,JDK8-9-9
1,19775,JDK2-2-1
2,18904,JDK2-2-1
3,19266,JDK2-2-1
4,19368,JDK2-2-1
5,19810,JDK2-2-1
6,19223,JDK2-2-1
7,19106,JDK2-2-1
8,18770,JDK2-2-1
9,20004,JDK2-2-1
10,18881,JDK2-2-1
11,19328,JDK2-2-1
12,19125,JDK2-2-1
13,19369,JDK2-2-1
14,19432,JDK2-2-1
15,19618,JDK2-2-1
16,19475,JDK2-2-1
1,17434,JDKE
2,18050,JDKE
3,18737,JDKE
4,17838,JDKE
5,17440,JDKE
6,18040,JDKE
7,18389,JDKE
8,18414,JDKE
9,17581,JDKE
10,17911,JDKE
11,18406,JDKE
12,18147,JDKE
13,18018,JDKE
14,18438,JDKE
15,18655,JDKE
16,17551,JDKE
1,18960,JDK3-2-1
2,19339,JDK3-2-1
3,19168,JDK3-2-1
4,19341,JDK3-2-1
5,19507,JDK3-2-1
6,20230,JDK3-2-1
7,19273,JDK3-2-1
8,20034,JDK3-2-1
9,19394,JDK3-2-1
10,19252,JDK3-2-1
11,19270,JDK3-2-1
12,18597,JDK3-2-1
13,19204,JDK3-2-1
14,18993,JDK3-2-1
15,18314,JDK3-2-1
16,18994,JDK3-2-1
