Run,Time,JVM
1,11445,JDK5-4-4
2,12408,JDK5-4-4
3,12921,JDK5-4-4
4,11669,JDK5-4-4
5,12528,JDK5-4-4
6,11556,JDK5-4-4
7,12009,JDK5-4-4
8,11782,JDK5-4-4
9,11625,JDK5-4-4
10,12458,JDK5-4-4
11,11795,JDK5-4-4
12,11780,JDK5-4-4
13,12112,JDK5-4-4
14,12522,JDK5-4-4
15,12555,JDK5-4-4
16,12060,JDK5-4-4
1,12589,JDK3-2-1
2,12190,JDK3-2-1
3,11992,JDK3-2-1
4,11932,JDK3-2-1
5,12599,JDK3-2-1
6,12707,JDK3-2-1
7,12290,JDK3-2-1
8,12166,JDK3-2-1
9,12313,JDK3-2-1
10,12729,JDK3-2-1
11,12152,JDK3-2-1
12,12696,JDK3-2-1
13,12180,JDK3-2-1
14,12281,JDK3-2-1
15,12757,JDK3-2-1
16,12534,JDK3-2-1
1,12234,JDK8-9-9
2,11619,JDK8-9-9
3,12957,JDK8-9-9
4,12274,JDK8-9-9
5,11772,JDK8-9-9
6,12595,JDK8-9-9
7,12252,JDK8-9-9
8,11562,JDK8-9-9
9,11870,JDK8-9-9
10,12200,JDK8-9-9
11,12527,JDK8-9-9
12,12230,JDK8-9-9
13,11668,JDK8-9-9
14,11771,JDK8-9-9
15,11710,JDK8-9-9
16,12113,JDK8-9-9
1,12077,JDKE
2,11912,JDKE
3,12340,JDKE
4,12988,JDKE
5,12876,JDKE
6,12593,JDKE
7,12683,JDKE
8,12219,JDKE
9,13289,JDKE
10,12964,JDKE
11,12685,JDKE
12,12980,JDKE
13,12874,JDKE
14,12697,JDKE
15,12652,JDKE
16,12034,JDKE
1,12504,JDK2-2-2
2,13330,JDK2-2-2
3,12762,JDK2-2-2
4,12282,JDK2-2-2
5,12930,JDK2-2-2
6,13368,JDK2-2-2
7,12935,JDK2-2-2
8,11662,JDK2-2-2
9,12406,JDK2-2-2
10,12814,JDK2-2-2
11,12075,JDK2-2-2
12,12616,JDK2-2-2
13,12284,JDK2-2-2
14,13515,JDK2-2-2
15,12335,JDK2-2-2
16,12201,JDK2-2-2
1,13240,JDKF
2,12743,JDKF
3,12889,JDKF
4,12642,JDKF
5,12764,JDKF
6,13356,JDKF
7,12023,JDKF
8,12470,JDKF
9,12349,JDKF
10,12469,JDKF
11,13096,JDKF
12,13013,JDKF
13,13384,JDKF
14,12666,JDKF
15,13449,JDKF
16,13004,JDKF
1,12233,JDK2-2-1
2,12742,JDK2-2-1
3,12470,JDK2-2-1
4,12153,JDK2-2-1
5,12084,JDK2-2-1
6,12879,JDK2-2-1
7,12339,JDK2-2-1
8,11900,JDK2-2-1
9,12588,JDK2-2-1
10,12484,JDK2-2-1
11,12743,JDK2-2-1
12,12684,JDK2-2-1
13,12569,JDK2-2-1
14,12530,JDK2-2-1
15,12874,JDK2-2-1
16,12647,JDK2-2-1
1,12680,JDK1-1-3
2,12856,JDK1-1-3
3,13101,JDK1-1-3
4,13103,JDK1-1-3
5,13543,JDK1-1-3
6,13090,JDK1-1-3
7,13568,JDK1-1-3
8,13514,JDK1-1-3
9,12920,JDK1-1-3
10,12815,JDK1-1-3
11,12821,JDK1-1-3
12,12860,JDK1-1-3
13,12549,JDK1-1-3
14,12601,JDK1-1-3
15,13997,JDK1-1-3
16,13349,JDK1-1-3
1,11753,JDK2-3-2
2,11620,JDK2-3-2
3,12300,JDK2-3-2
4,12187,JDK2-3-2
5,12172,JDK2-3-2
6,12553,JDK2-3-2
7,12120,JDK2-3-2
8,13109,JDK2-3-2
9,11906,JDK2-3-2
10,11704,JDK2-3-2
11,12218,JDK2-3-2
12,12461,JDK2-3-2
13,12693,JDK2-3-2
14,12140,JDK2-3-2
15,12503,JDK2-3-2
16,12608,JDK2-3-2
1,12642,JDK3-2-3
2,12411,JDK3-2-3
3,12861,JDK3-2-3
4,12664,JDK3-2-3
5,12632,JDK3-2-3
6,12972,JDK3-2-3
7,12177,JDK3-2-3
8,11707,JDK3-2-3
9,12609,JDK3-2-3
10,12170,JDK3-2-3
11,12834,JDK3-2-3
12,12100,JDK3-2-3
13,12704,JDK3-2-3
14,11852,JDK3-2-3
15,12743,JDK3-2-3
16,11777,JDK3-2-3
1,11868,JDK5-6-7
2,12225,JDK5-6-7
3,11840,JDK5-6-7
4,11964,JDK5-6-7
5,12438,JDK5-6-7
6,12916,JDK5-6-7
7,12758,JDK5-6-7
8,12934,JDK5-6-7
9,12825,JDK5-6-7
10,11570,JDK5-6-7
11,12072,JDK5-6-7
12,12684,JDK5-6-7
13,12365,JDK5-6-7
14,11843,JDK5-6-7
15,12647,JDK5-6-7
16,12087,JDK5-6-7
