Run,Time,JVM
1,21851,JDKE
2,22601,JDKE
3,22343,JDKE
4,22195,JDKE
5,22528,JDKE
6,22813,JDKE
7,22053,JDKE
8,21763,JDKE
9,22338,JDKE
10,22900,JDKE
11,21922,JDKE
12,21654,JDKE
13,22663,JDKE
14,22294,JDKE
15,22186,JDKE
16,21785,JDKE
1,23687,JDK3-2-1
2,21903,JDK3-2-1
3,22285,JDK3-2-1
4,22516,JDK3-2-1
5,22495,JDK3-2-1
6,23152,JDK3-2-1
7,22955,JDK3-2-1
8,23131,JDK3-2-1
9,22300,JDK3-2-1
10,22911,JDK3-2-1
11,22878,JDK3-2-1
12,22409,JDK3-2-1
13,23247,JDK3-2-1
14,22882,JDK3-2-1
15,22702,JDK3-2-1
16,22249,JDK3-2-1
1,21919,JDK8-9-9
2,21161,JDK8-9-9
3,21907,JDK8-9-9
4,22220,JDK8-9-9
5,23355,JDK8-9-9
6,21723,JDK8-9-9
7,21565,JDK8-9-9
8,22366,JDK8-9-9
9,22426,JDK8-9-9
10,22591,JDK8-9-9
11,21329,JDK8-9-9
12,22602,JDK8-9-9
13,21674,JDK8-9-9
14,21951,JDK8-9-9
15,22087,JDK8-9-9
16,23143,JDK8-9-9
1,23017,JDK2-2-1
2,22421,JDK2-2-1
3,22843,JDK2-2-1
4,22221,JDK2-2-1
5,22787,JDK2-2-1
6,22653,JDK2-2-1
7,22534,JDK2-2-1
8,22722,JDK2-2-1
9,21623,JDK2-2-1
10,21951,JDK2-2-1
11,22733,JDK2-2-1
12,22353,JDK2-2-1
13,22068,JDK2-2-1
14,22298,JDK2-2-1
15,22676,JDK2-2-1
16,22914,JDK2-2-1
1,25434,JDK2-2-2
2,25808,JDK2-2-2
3,24806,JDK2-2-2
4,25833,JDK2-2-2
5,26589,JDK2-2-2
6,25539,JDK2-2-2
7,26750,JDK2-2-2
8,25093,JDK2-2-2
9,25778,JDK2-2-2
10,24794,JDK2-2-2
11,25239,JDK2-2-2
12,25413,JDK2-2-2
13,25899,JDK2-2-2
14,26047,JDK2-2-2
15,25474,JDK2-2-2
16,25889,JDK2-2-2
1,22370,JDK1-1-3
2,21853,JDK1-1-3
3,22407,JDK1-1-3
4,22189,JDK1-1-3
5,23244,JDK1-1-3
6,21844,JDK1-1-3
7,22209,JDK1-1-3
8,21845,JDK1-1-3
9,21867,JDK1-1-3
10,22115,JDK1-1-3
11,21756,JDK1-1-3
12,22456,JDK1-1-3
13,21720,JDK1-1-3
14,22326,JDK1-1-3
15,22769,JDK1-1-3
16,22136,JDK1-1-3
1,22213,JDK3-2-3
2,22402,JDK3-2-3
3,20960,JDK3-2-3
4,21903,JDK3-2-3
5,22260,JDK3-2-3
6,22019,JDK3-2-3
7,22852,JDK3-2-3
8,22044,JDK3-2-3
9,21945,JDK3-2-3
10,22172,JDK3-2-3
11,21945,JDK3-2-3
12,22104,JDK3-2-3
13,22076,JDK3-2-3
14,21836,JDK3-2-3
15,21560,JDK3-2-3
16,22210,JDK3-2-3
1,22920,JDK5-4-4
2,21616,JDK5-4-4
3,21847,JDK5-4-4
4,22148,JDK5-4-4
5,21966,JDK5-4-4
6,22693,JDK5-4-4
7,22451,JDK5-4-4
8,21701,JDK5-4-4
9,22089,JDK5-4-4
10,21658,JDK5-4-4
11,22068,JDK5-4-4
12,21675,JDK5-4-4
13,22480,JDK5-4-4
14,21525,JDK5-4-4
15,22673,JDK5-4-4
16,22318,JDK5-4-4
1,23581,JDKF
2,24123,JDKF
3,24699,JDKF
4,24241,JDKF
5,23735,JDKF
6,23759,JDKF
7,22459,JDKF
8,23067,JDKF
9,23024,JDKF
10,24312,JDKF
11,22464,JDKF
12,23867,JDKF
13,23242,JDKF
14,23149,JDKF
15,22279,JDKF
16,23041,JDKF
1,22074,JDK2-3-2
2,22887,JDK2-3-2
3,22238,JDK2-3-2
4,22712,JDK2-3-2
5,21769,JDK2-3-2
6,21807,JDK2-3-2
7,22214,JDK2-3-2
8,22833,JDK2-3-2
9,23096,JDK2-3-2
10,21860,JDK2-3-2
11,22121,JDK2-3-2
12,22735,JDK2-3-2
13,22298,JDK2-3-2
14,21974,JDK2-3-2
15,22376,JDK2-3-2
16,21813,JDK2-3-2
1,22233,JDK5-6-7
2,23054,JDK5-6-7
3,22536,JDK5-6-7
4,22291,JDK5-6-7
5,21592,JDK5-6-7
6,22439,JDK5-6-7
7,22140,JDK5-6-7
8,21794,JDK5-6-7
9,22170,JDK5-6-7
10,22241,JDK5-6-7
11,21915,JDK5-6-7
12,22352,JDK5-6-7
13,21931,JDK5-6-7
14,22094,JDK5-6-7
15,22848,JDK5-6-7
16,22984,JDK5-6-7
