Run,Time,JVM
1,16795,JDK5-4-4
2,11304,JDK5-4-4
3,15200,JDK5-4-4
4,12161,JDK5-4-4
5,11728,JDK5-4-4
6,12434,JDK5-4-4
7,12383,JDK5-4-4
8,11343,JDK5-4-4
9,12006,JDK5-4-4
10,12031,JDK5-4-4
11,11912,JDK5-4-4
12,12097,JDK5-4-4
13,11971,JDK5-4-4
14,11763,JDK5-4-4
15,12442,JDK5-4-4
16,13158,JDK5-4-4
1,14957,JDK3-2-1
2,14228,JDK3-2-1
3,13975,JDK3-2-1
4,14632,JDK3-2-1
5,15367,JDK3-2-1
6,14316,JDK3-2-1
7,14551,JDK3-2-1
8,14449,JDK3-2-1
9,15511,JDK3-2-1
10,14635,JDK3-2-1
11,14577,JDK3-2-1
12,14316,JDK3-2-1
13,15001,JDK3-2-1
14,15764,JDK3-2-1
15,14069,JDK3-2-1
16,15021,JDK3-2-1
1,9496,JDK8-9-9
2,10443,JDK8-9-9
3,10197,JDK8-9-9
4,10319,JDK8-9-9
5,9015,JDK8-9-9
6,10160,JDK8-9-9
7,10355,JDK8-9-9
8,10747,JDK8-9-9
9,9933,JDK8-9-9
10,9673,JDK8-9-9
11,10053,JDK8-9-9
12,9876,JDK8-9-9
13,9778,JDK8-9-9
14,9950,JDK8-9-9
15,10253,JDK8-9-9
16,10170,JDK8-9-9
1,20617,JDK1-1-3
2,20806,JDK1-1-3
3,20734,JDK1-1-3
4,20786,JDK1-1-3
5,21129,JDK1-1-3
6,20473,JDK1-1-3
7,21627,JDK1-1-3
8,19200,JDK1-1-3
9,21838,JDK1-1-3
10,21132,JDK1-1-3
11,20486,JDK1-1-3
12,20847,JDK1-1-3
13,20398,JDK1-1-3
14,20468,JDK1-1-3
15,21450,JDK1-1-3
16,20092,JDK1-1-3
1,12584,JDK5-6-7
2,15600,JDK5-6-7
3,12044,JDK5-6-7
4,11924,JDK5-6-7
5,11586,JDK5-6-7
6,12124,JDK5-6-7
7,12107,JDK5-6-7
8,11706,JDK5-6-7
9,12785,JDK5-6-7
10,12166,JDK5-6-7
11,12256,JDK5-6-7
12,11878,JDK5-6-7
13,11607,JDK5-6-7
14,11932,JDK5-6-7
15,12370,JDK5-6-7
16,14254,JDK5-6-7
1,13939,JDK2-2-2
2,14444,JDK2-2-2
3,14514,JDK2-2-2
4,14646,JDK2-2-2
5,14708,JDK2-2-2
6,14614,JDK2-2-2
7,14282,JDK2-2-2
8,14197,JDK2-2-2
9,15232,JDK2-2-2
10,14295,JDK2-2-2
11,13634,JDK2-2-2
12,15379,JDK2-2-2
13,14479,JDK2-2-2
14,15141,JDK2-2-2
15,13778,JDK2-2-2
16,16223,JDK2-2-2
1,6498,JDKF
2,6183,JDKF
3,6389,JDKF
4,6205,JDKF
5,5983,JDKF
6,5345,JDKF
7,6089,JDKF
8,6089,JDKF
9,6102,JDKF
10,6459,JDKF
11,6275,JDKF
12,5993,JDKF
13,5879,JDKF
14,5945,JDKF
15,6257,JDKF
16,6068,JDKF
1,6503,JDKE
2,6525,JDKE
3,6533,JDKE
4,5940,JDKE
5,6805,JDKE
6,5307,JDKE
7,6471,JDKE
8,7072,JDKE
9,6604,JDKE
10,6210,JDKE
11,6281,JDKE
12,6217,JDKE
13,6613,JDKE
14,6585,JDKE
15,6277,JDKE
16,6809,JDKE
1,14080,JDK2-3-2
2,15739,JDK2-3-2
3,14887,JDK2-3-2
4,15014,JDK2-3-2
5,14277,JDK2-3-2
6,15486,JDK2-3-2
7,15304,JDK2-3-2
8,15163,JDK2-3-2
9,14663,JDK2-3-2
10,14377,JDK2-3-2
11,14694,JDK2-3-2
12,14481,JDK2-3-2
13,14115,JDK2-3-2
14,15025,JDK2-3-2
15,15038,JDK2-3-2
16,13395,JDK2-3-2
1,15070,JDK3-2-3
2,14327,JDK3-2-3
3,14366,JDK3-2-3
4,14499,JDK3-2-3
5,14757,JDK3-2-3
6,14743,JDK3-2-3
7,15071,JDK3-2-3
8,19643,JDK3-2-3
9,14738,JDK3-2-3
10,15028,JDK3-2-3
11,19365,JDK3-2-3
12,15019,JDK3-2-3
13,15262,JDK3-2-3
14,14713,JDK3-2-3
15,14675,JDK3-2-3
16,14222,JDK3-2-3
1,14727,JDK2-2-1
2,15040,JDK2-2-1
3,14140,JDK2-2-1
4,14755,JDK2-2-1
5,17937,JDK2-2-1
6,14224,JDK2-2-1
7,14755,JDK2-2-1
8,15481,JDK2-2-1
9,20550,JDK2-2-1
10,14310,JDK2-2-1
11,14870,JDK2-2-1
12,14277,JDK2-2-1
13,15575,JDK2-2-1
14,15094,JDK2-2-1
15,15431,JDK2-2-1
16,14107,JDK2-2-1
