Run,Time,JVM
1,4551,JDK8-9-9
2,4379,JDK8-9-9
3,4055,JDK8-9-9
4,4196,JDK8-9-9
5,4469,JDK8-9-9
6,4492,JDK8-9-9
7,4313,JDK8-9-9
8,4626,JDK8-9-9
9,4240,JDK8-9-9
10,4550,JDK8-9-9
11,4480,JDK8-9-9
12,4182,JDK8-9-9
13,4263,JDK8-9-9
14,4388,JDK8-9-9
15,4243,JDK8-9-9
16,4255,JDK8-9-9
1,4091,JDKE
2,4089,JDKE
3,4336,JDKE
4,4583,JDKE
5,4551,JDKE
6,4068,JDKE
7,4015,JDKE
8,4434,JDKE
9,4373,JDKE
10,4340,JDKE
11,4424,JDKE
12,4339,JDKE
13,4373,JDKE
14,4250,JDKE
15,4232,JDKE
16,4114,JDKE
1,4402,JDK5-4-4
2,4398,JDK5-4-4
3,4465,JDK5-4-4
4,4179,JDK5-4-4
5,4208,JDK5-4-4
6,4655,JDK5-4-4
7,4442,JDK5-4-4
8,4328,JDK5-4-4
9,4184,JDK5-4-4
10,4292,JDK5-4-4
11,4468,JDK5-4-4
12,4298,JDK5-4-4
13,4150,JDK5-4-4
14,4153,JDK5-4-4
15,4481,JDK5-4-4
16,4235,JDK5-4-4
1,4156,JDK3-2-1
2,4372,JDK3-2-1
3,4391,JDK3-2-1
4,4605,JDK3-2-1
5,4426,JDK3-2-1
6,4181,JDK3-2-1
7,4268,JDK3-2-1
8,4334,JDK3-2-1
9,4356,JDK3-2-1
10,4166,JDK3-2-1
11,4278,JDK3-2-1
12,4370,JDK3-2-1
13,4411,JDK3-2-1
14,4261,JDK3-2-1
15,4340,JDK3-2-1
16,4287,JDK3-2-1
1,4334,JDK2-3-2
2,4591,JDK2-3-2
3,4536,JDK2-3-2
4,4154,JDK2-3-2
5,4100,JDK2-3-2
6,4352,JDK2-3-2
7,4307,JDK2-3-2
8,4405,JDK2-3-2
9,4295,JDK2-3-2
10,4565,JDK2-3-2
11,4149,JDK2-3-2
12,4149,JDK2-3-2
13,4103,JDK2-3-2
14,4448,JDK2-3-2
15,4154,JDK2-3-2
16,4404,JDK2-3-2
1,4595,JDK5-6-7
2,4262,JDK5-6-7
3,4478,JDK5-6-7
4,4171,JDK5-6-7
5,4265,JDK5-6-7
6,4270,JDK5-6-7
7,4254,JDK5-6-7
8,4392,JDK5-6-7
9,4496,JDK5-6-7
10,4253,JDK5-6-7
11,4185,JDK5-6-7
12,4587,JDK5-6-7
13,4487,JDK5-6-7
14,4316,JDK5-6-7
15,4634,JDK5-6-7
16,4528,JDK5-6-7
1,4156,JDK3-2-3
2,4225,JDK3-2-3
3,4426,JDK3-2-3
4,4233,JDK3-2-3
5,4131,JDK3-2-3
6,4272,JDK3-2-3
7,4438,JDK3-2-3
8,4324,JDK3-2-3
9,4262,JDK3-2-3
10,4219,JDK3-2-3
11,4388,JDK3-2-3
12,4298,JDK3-2-3
13,4289,JDK3-2-3
14,4381,JDK3-2-3
15,4307,JDK3-2-3
16,4091,JDK3-2-3
1,4798,JDKF
2,4740,JDKF
3,4926,JDKF
4,4539,JDKF
5,4944,JDKF
6,5367,JDKF
7,4744,JDKF
8,4621,JDKF
9,4781,JDKF
10,4636,JDKF
11,5651,JDKF
12,4648,JDKF
13,4596,JDKF
14,4894,JDKF
15,4602,JDKF
16,4430,JDKF
1,4543,JDK2-2-1
2,4286,JDK2-2-1
3,4244,JDK2-2-1
4,4523,JDK2-2-1
5,4628,JDK2-2-1
6,4423,JDK2-2-1
7,4458,JDK2-2-1
8,4293,JDK2-2-1
9,4343,JDK2-2-1
10,4638,JDK2-2-1
11,4351,JDK2-2-1
12,4211,JDK2-2-1
13,4318,JDK2-2-1
14,4254,JDK2-2-1
15,4444,JDK2-2-1
16,4418,JDK2-2-1
1,4231,JDK2-2-2
2,4426,JDK2-2-2
3,4567,JDK2-2-2
4,4477,JDK2-2-2
5,4538,JDK2-2-2
6,4414,JDK2-2-2
7,4158,JDK2-2-2
8,4154,JDK2-2-2
9,4274,JDK2-2-2
10,4582,JDK2-2-2
11,4292,JDK2-2-2
12,4298,JDK2-2-2
13,4281,JDK2-2-2
14,4332,JDK2-2-2
15,4224,JDK2-2-2
16,4442,JDK2-2-2
