Run,Time,JVM
1,1867,JDK1-1-3
2,1903,JDK1-1-3
3,1889,JDK1-1-3
4,1993,JDK1-1-3
5,1816,JDK1-1-3
6,1734,JDK1-1-3
7,1901,JDK1-1-3
8,2027,JDK1-1-3
9,1702,JDK1-1-3
10,1969,JDK1-1-3
11,2283,JDK1-1-3
12,1788,JDK1-1-3
13,2002,JDK1-1-3
14,2008,JDK1-1-3
15,1817,JDK1-1-3
16,1996,JDK1-1-3
1,1661,JDK2-3-2
2,1803,JDK2-3-2
3,1840,JDK2-3-2
4,1696,JDK2-3-2
5,1721,JDK2-3-2
6,1708,JDK2-3-2
7,1645,JDK2-3-2
8,1791,JDK2-3-2
9,1680,JDK2-3-2
10,1754,JDK2-3-2
11,1763,JDK2-3-2
12,1680,JDK2-3-2
13,1705,JDK2-3-2
14,1722,JDK2-3-2
15,1667,JDK2-3-2
16,1779,JDK2-3-2
1,1588,JDKF
2,1628,JDKF
3,1472,JDKF
4,1545,JDKF
5,1647,JDKF
6,1513,JDKF
7,1564,JDKF
8,1594,JDKF
9,1572,JDKF
10,1580,JDKF
11,1531,JDKF
12,1612,JDKF
13,1700,JDKF
14,1618,JDKF
15,1545,JDKF
16,1562,JDKF
1,1632,JDK5-6-7
2,1547,JDK5-6-7
3,1719,JDK5-6-7
4,1734,JDK5-6-7
5,1708,JDK5-6-7
6,1690,JDK5-6-7
7,1600,JDK5-6-7
8,1609,JDK5-6-7
9,1703,JDK5-6-7
10,1707,JDK5-6-7
11,1704,JDK5-6-7
12,1655,JDK5-6-7
13,1678,JDK5-6-7
14,1611,JDK5-6-7
15,1687,JDK5-6-7
16,1834,JDK5-6-7
1,1751,JDK8-9-9
2,1812,JDK8-9-9
3,1678,JDK8-9-9
4,1693,JDK8-9-9
5,1647,JDK8-9-9
6,1598,JDK8-9-9
7,1672,JDK8-9-9
8,1693,JDK8-9-9
9,1825,JDK8-9-9
10,1697,JDK8-9-9
11,1597,JDK8-9-9
12,1740,JDK8-9-9
13,1598,JDK8-9-9
14,1700,JDK8-9-9
15,1622,JDK8-9-9
16,1661,JDK8-9-9
1,1674,JDKE
2,1634,JDKE
3,1628,JDKE
4,1681,JDKE
5,1619,JDKE
6,1621,JDKE
7,1665,JDKE
8,1767,JDKE
9,1557,JDKE
10,1610,JDKE
11,1570,JDKE
12,1565,JDKE
13,1669,JDKE
14,1585,JDKE
15,1579,JDKE
16,1654,JDKE
1,1683,JDK2-2-1
2,1787,JDK2-2-1
3,1706,JDK2-2-1
4,1747,JDK2-2-1
5,1883,JDK2-2-1
6,1609,JDK2-2-1
7,1747,JDK2-2-1
8,1768,JDK2-2-1
9,1652,JDK2-2-1
10,1653,JDK2-2-1
11,1665,JDK2-2-1
12,1645,JDK2-2-1
13,1665,JDK2-2-1
14,1608,JDK2-2-1
15,1702,JDK2-2-1
16,1642,JDK2-2-1
1,1716,JDK2-2-2
2,1766,JDK2-2-2
3,1838,JDK2-2-2
4,1693,JDK2-2-2
5,1775,JDK2-2-2
6,1670,JDK2-2-2
7,1930,JDK2-2-2
8,1801,JDK2-2-2
9,1692,JDK2-2-2
10,1714,JDK2-2-2
11,1655,JDK2-2-2
12,1585,JDK2-2-2
13,1727,JDK2-2-2
14,1810,JDK2-2-2
15,1766,JDK2-2-2
16,1811,JDK2-2-2
1,1619,JDK5-4-4
2,1716,JDK5-4-4
3,1651,JDK5-4-4
4,1736,JDK5-4-4
5,1733,JDK5-4-4
6,1794,JDK5-4-4
7,1656,JDK5-4-4
8,1678,JDK5-4-4
9,1684,JDK5-4-4
10,1681,JDK5-4-4
11,1723,JDK5-4-4
12,1678,JDK5-4-4
13,1836,JDK5-4-4
14,1684,JDK5-4-4
15,1706,JDK5-4-4
16,1729,JDK5-4-4
1,1724,JDK3-2-1
2,1689,JDK3-2-1
3,1749,JDK3-2-1
4,1607,JDK3-2-1
5,1757,JDK3-2-1
6,1628,JDK3-2-1
7,1685,JDK3-2-1
8,1747,JDK3-2-1
9,1642,JDK3-2-1
10,1634,JDK3-2-1
11,1716,JDK3-2-1
12,1705,JDK3-2-1
13,1760,JDK3-2-1
14,1565,JDK3-2-1
15,1780,JDK3-2-1
16,1747,JDK3-2-1
1,1755,JDK3-2-3
2,1728,JDK3-2-3
3,1736,JDK3-2-3
4,1607,JDK3-2-3
5,1898,JDK3-2-3
6,1784,JDK3-2-3
7,1793,JDK3-2-3
8,1679,JDK3-2-3
9,1729,JDK3-2-3
10,1862,JDK3-2-3
11,2007,JDK3-2-3
12,1761,JDK3-2-3
13,1741,JDK3-2-3
14,1785,JDK3-2-3
15,1645,JDK3-2-3
16,1678,JDK3-2-3
