,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
1,14.0,100.0,JDKD,2.0,avrora,100.0,100.0
2,63.0,100.0,JDKD,911.0,avrora,100.0,50.0
3,4.0,100.0,JDKD,2609.0,avrora,100.0,75.0
4,7.0,100.0,JDKD,4121.0,avrora,100.0,50.0
5,3.0,100.0,JDKD,5679.0,avrora,100.0,75.0
6,7.0,100.0,JDKD,7164.0,avrora,100.0,75.0
7,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
8,14.0,100.0,JDKD,2.0,avrora,100.0,100.0
9,7.0,100.0,JDKD,816.0,avrora,100.0,50.0
10,43.0,100.0,JDKD,2746.0,avrora,100.0,50.0
11,56.0,100.0,JDKD,4613.0,avrora,100.0,50.0
12,0.0,100.0,JDKD,6364.0,avrora,100.0,50.0
13,26.0,100.0,JDKD,8171.0,avrora,100.0,50.0
14,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
15,12.0,100.0,JDKD,3.0,avrora,100.0,100.0
16,9.0,100.0,JDKD,995.0,avrora,100.0,50.0
17,0.0,100.0,JDKD,2891.0,avrora,100.0,50.0
18,0.0,100.0,JDKD,4747.0,avrora,100.0,50.0
19,3.0,100.0,JDKD,6596.0,avrora,100.0,75.0
20,45.0,100.0,JDKD,8470.0,avrora,100.0,50.0
21,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
22,13.0,100.0,JDKD,2.0,avrora,100.0,100.0
23,6.0,100.0,JDKD,871.0,avrora,100.0,50.0
24,46.0,100.0,JDKD,2705.0,avrora,100.0,50.0
25,0.0,100.0,JDKD,4480.0,avrora,100.0,50.0
26,39.0,100.0,JDKD,6200.0,avrora,100.0,50.0
27,0.0,100.0,JDKD,7887.0,avrora,100.0,50.0
28,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
29,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
30,12.0,100.0,JDKD,2.0,avrora,100.0,100.0
31,9.0,100.0,JDKD,934.0,avrora,100.0,50.0
32,9.0,100.0,JDKD,2732.0,avrora,100.0,75.0
33,8.0,100.0,JDKD,4424.0,avrora,100.0,75.0
34,7.0,100.0,JDKD,6098.0,avrora,100.0,75.0
35,44.0,100.0,JDKD,7760.0,avrora,100.0,75.0
36,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
37,15.0,100.0,JDKD,2.0,avrora,100.0,100.0
38,64.0,100.0,JDKD,832.0,avrora,100.0,50.0
39,4.0,100.0,JDKD,2609.0,avrora,100.0,75.0
40,47.0,100.0,JDKD,4282.0,avrora,100.0,50.0
41,0.0,100.0,JDKD,5922.0,avrora,100.0,50.0
42,3.0,100.0,JDKD,7447.0,avrora,100.0,75.0
43,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
44,12.0,100.0,JDKD,2.0,avrora,100.0,100.0
45,61.0,100.0,JDKD,848.0,avrora,100.0,50.0
46,4.0,100.0,JDKD,2619.0,avrora,100.0,75.0
47,6.0,100.0,JDKD,4233.0,avrora,100.0,50.0
48,8.0,100.0,JDKD,5820.0,avrora,100.0,50.0
49,3.0,100.0,JDKD,7427.0,avrora,100.0,75.0
50,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
51,12.0,100.0,JDKD,2.0,avrora,100.0,100.0
52,6.0,100.0,JDKD,907.0,avrora,100.0,50.0
53,4.0,100.0,JDKD,2670.0,avrora,100.0,75.0
54,6.0,100.0,JDKD,4314.0,avrora,100.0,75.0
55,70.0,100.0,JDKD,5970.0,avrora,100.0,75.0
56,45.0,100.0,JDKD,7572.0,avrora,100.0,50.0
57,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
58,15.0,100.0,JDKD,2.0,avrora,100.0,100.0
59,5.0,100.0,JDKD,818.0,avrora,100.0,50.0
60,6.0,100.0,JDKD,2436.0,avrora,100.0,75.0
61,10.0,100.0,JDKD,4185.0,avrora,100.0,75.0
62,8.0,100.0,JDKD,5750.0,avrora,100.0,75.0
63,8.0,100.0,JDKD,7286.0,avrora,100.0,75.0
64,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
65,14.0,100.0,JDKD,2.0,avrora,100.0,100.0
66,37.0,100.0,JDKD,959.0,avrora,100.0,50.0
67,0.0,100.0,JDKD,2668.0,avrora,100.0,75.0
68,0.0,100.0,JDKD,2670.0,avrora,100.0,50.0
69,5.0,100.0,JDKD,4317.0,avrora,100.0,50.0
70,8.0,100.0,JDKD,5826.0,avrora,100.0,75.0
71,5.0,100.0,JDKD,7300.0,avrora,100.0,50.0
72,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
73,15.0,100.0,JDKD,2.0,avrora,100.0,100.0
74,8.0,100.0,JDKD,838.0,avrora,100.0,50.0
75,42.0,100.0,JDKD,2576.0,avrora,100.0,50.0
76,44.0,100.0,JDKD,4252.0,avrora,100.0,50.0
77,45.0,100.0,JDKD,5793.0,avrora,100.0,50.0
78,0.0,100.0,JDKD,7331.0,avrora,100.0,50.0
79,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
80,14.0,100.0,JDKD,2.0,avrora,100.0,100.0
81,12.0,100.0,JDKD,864.0,avrora,100.0,50.0
82,0.0,100.0,JDKD,2794.0,avrora,100.0,50.0
83,0.0,100.0,JDKD,4540.0,avrora,100.0,50.0
84,0.0,100.0,JDKD,6168.0,avrora,100.0,50.0
85,4.0,100.0,JDKD,7814.0,avrora,100.0,75.0
86,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
87,12.0,100.0,JDKD,2.0,avrora,100.0,100.0
88,62.0,100.0,JDKD,931.0,avrora,100.0,50.0
89,0.0,100.0,JDKD,2863.0,avrora,100.0,50.0
90,3.0,100.0,JDKD,4755.0,avrora,100.0,75.0
91,3.0,100.0,JDKD,6554.0,avrora,100.0,75.0
92,59.0,100.0,JDKD,8352.0,avrora,100.0,75.0
93,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
94,12.0,100.0,JDKD,3.0,avrora,100.0,100.0
95,7.0,100.0,JDKD,904.0,avrora,100.0,50.0
96,0.0,100.0,JDKD,2831.0,avrora,100.0,50.0
97,4.0,100.0,JDKD,4465.0,avrora,100.0,75.0
98,7.0,100.0,JDKD,6075.0,avrora,100.0,75.0
99,9.0,100.0,JDKD,7667.0,avrora,100.0,75.0
100,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
101,12.0,100.0,JDKD,2.0,avrora,100.0,100.0
102,7.0,100.0,JDKD,968.0,avrora,100.0,50.0
103,7.0,100.0,JDKD,2969.0,avrora,100.0,75.0
104,9.0,100.0,JDKD,4766.0,avrora,100.0,75.0
105,57.0,100.0,JDKD,6525.0,avrora,100.0,75.0
106,5.0,100.0,JDKD,8260.0,avrora,100.0,50.0
107,0.0,100.0,JDKD,0.0,avrora,100.0,100.0
108,15.0,100.0,JDKD,4.0,avrora,100.0,100.0
109,6.0,100.0,JDKD,938.0,avrora,100.0,50.0
110,5.0,100.0,JDKD,2553.0,avrora,100.0,50.0
111,45.0,100.0,JDKD,4073.0,avrora,100.0,50.0
112,0.0,100.0,JDKD,5667.0,avrora,100.0,50.0
113,0.0,100.0,JDKD,7267.0,avrora,100.0,50.0
0,0.0,100.0,JDKB,0.0,avrora,100.0,100.0
1,11.0,100.0,JDKB,2.0,avrora,100.0,100.0
2,12.0,100.0,JDKB,874.0,avrora,100.0,100.0
3,11.0,100.0,JDKB,2762.0,avrora,100.0,100.0
4,11.0,100.0,JDKB,4515.0,avrora,100.0,100.0
5,9.0,100.0,JDKB,6276.0,avrora,100.0,100.0
6,9.0,100.0,JDKB,8028.0,avrora,100.0,100.0
7,0.0,100.0,JDKB,0.0,avrora,100.0,100.0
8,15.0,100.0,JDKB,2.0,avrora,100.0,100.0
9,9.0,100.0,JDKB,874.0,avrora,100.0,100.0
10,10.0,100.0,JDKB,2925.0,avrora,100.0,100.0
11,12.0,100.0,JDKB,4658.0,avrora,100.0,100.0
12,10.0,100.0,JDKB,6471.0,avrora,100.0,100.0
13,87.0,100.0,JDKB,8268.0,avrora,100.0,100.0
14,0.0,100.0,JDKB,0.0,avrora,100.0,100.0
15,15.0,100.0,JDKB,3.0,avrora,100.0,100.0
16,6.0,100.0,JDKB,805.0,avrora,100.0,100.0
17,8.0,100.0,JDKB,2541.0,avrora,100.0,100.0
