Time,GC Util
0,0
0,0
401,84
401,84
593,50
596,57
599,4
599,4
731,96
811,1
813,130
898,1
901,134
1001,1
1003,87
1094,2
1099,138
1156,3
1159,142
1203,1
1207,183
1238,5
1241,199
1277,4
1280,160
1300,6
1304,183
1341,4
1345,198
1374,6
1378,210
1413,5
1416,176
1456,4
1459,190
1488,6
1488,6
1491,85
1491,85
1526,7
1526,7
1529,202
1529,202
1564,169
1564,169
1600,5
1600,5
1604,204
1604,204
1643,207
1643,207
1685,174
1685,174
1720,5
1720,5
1724,191
1724,191
1765,174
1765,174
1814,179
1849,5
1852,174
1882,3
1885,109
1885,109
1924,5
1924,5
1928,188
1928,188
1975,3
1975,3
1979,193
1979,193
2018,162
2018,162
2056,5
2056,5
2059,195
2059,195
2090,6
2090,6
2094,208
2094,208
2132,5
2132,5
2135,194
2166,5
2170,195
2170,195
2203,5
2203,5
2207,203
2207,203
2236,5
2236,5
2239,147
2239,147
2277,3
2277,3
2280,200
2280,200
2315,5
2315,5
2317,163
2317,163
2353,3
2353,3
2356,211
2356,211
2385,6
2385,6
2389,200
2389,200
2424,5
2424,5
2428,203
2428,203
2468,111
2468,111
2496,11
2496,11
2499,100
2499,100
2542,5
2542,5
2545,161
2545,161
2573,4
2573,4
2577,202
2612,5
2615,149
2615,149
2644,5
2644,5
2647,153
2647,153
2680,3
2680,3
2683,140
2683,140
2724,158
2724,158
2755,6
2755,6
2758,201
2758,201
2799,4
2799,4
2801,109
2801,109
2828,8
2828,8
2832,195
2832,195
2870,4
2870,4
2874,191
2874,191
2902,6
2902,6
2905,203
2905,203
2944,4
2944,4
2946,162
2978,4
2978,4
2981,204
3018,5
3018,5
3021,110
3054,7
3054,7
3056,156
3056,156
3085,4
3085,4
3087,98
3125,6
3125,6
3128,190
3161,5
3164,194
3194,6
3198,205
3198,205
3227,5
3227,5
3229,165
3269,3
3272,180
3272,180
3301,2
3301,2
3305,197
3344,4
3344,4
3348,196
3348,196
3382,5
3382,5
3385,194
3385,194
3419,5
3419,5
3423,182
3423,182
3455,5
3455,5
3458,197
3490,6
3494,208
3494,208
3532,4
3532,4
3535,194
3567,5
3567,5
3569,169
3569,169
3617,2
3617,2
3619,143
3619,143
3644,5
3644,5
3647,127
3687,3
3689,153
3689,153
3717,5
3717,5
3721,197
3721,197
3754,6
3754,6
3757,197
3757,197
3791,4
3791,4
3793,153
3793,153
3829,3
3829,3
3833,210
3833,210
3866,5
3866,5
3870,197
3870,197
3910,4
3910,4
3912,167
3912,167
3949,3
3949,3
3953,200
3953,200
3986,5
3986,5
3990,197
4026,5
4026,5
4029,164
4029,164
4056,4
4056,4
4059,184
4100,4
4100,4
4102,111
