Run,Time,JVM
1,8694,JDKE
2,8014,JDKE
3,7886,JDKE
4,8534,JDKE
5,8249,JDKE
6,8117,JDKE
7,8070,JDKE
8,8533,JDKE
9,8400,JDKE
10,8590,JDKE
11,7749,JDKE
12,8553,JDKE
13,8824,JDKE
14,8507,JDKE
15,8511,JDKE
16,8380,JDKE
1,8492,JDK3-2-1
2,8749,JDK3-2-1
3,8056,JDK3-2-1
4,8557,JDK3-2-1
5,7728,JDK3-2-1
6,8370,JDK3-2-1
7,8252,JDK3-2-1
8,8794,JDK3-2-1
9,8306,JDK3-2-1
10,8628,JDK3-2-1
11,8611,JDK3-2-1
12,7984,JDK3-2-1
13,8464,JDK3-2-1
14,8009,JDK3-2-1
15,8081,JDK3-2-1
16,8132,JDK3-2-1
1,7774,JDK8-9-9
2,8596,JDK8-9-9
3,8181,JDK8-9-9
4,8484,JDK8-9-9
5,8334,JDK8-9-9
6,8163,JDK8-9-9
7,8013,JDK8-9-9
8,7979,JDK8-9-9
9,8319,JDK8-9-9
10,7881,JDK8-9-9
11,8270,JDK8-9-9
12,8349,JDK8-9-9
13,8175,JDK8-9-9
14,8657,JDK8-9-9
15,8068,JDK8-9-9
16,8462,JDK8-9-9
1,7864,JDK2-2-1
2,8453,JDK2-2-1
3,8177,JDK2-2-1
4,8322,JDK2-2-1
5,8001,JDK2-2-1
6,7786,JDK2-2-1
7,8311,JDK2-2-1
8,8584,JDK2-2-1
9,8473,JDK2-2-1
10,7987,JDK2-2-1
11,8315,JDK2-2-1
12,8328,JDK2-2-1
13,8555,JDK2-2-1
14,8554,JDK2-2-1
15,8460,JDK2-2-1
16,8155,JDK2-2-1
1,8333,JDK2-2-2
2,8355,JDK2-2-2
3,8176,JDK2-2-2
4,8051,JDK2-2-2
5,8077,JDK2-2-2
6,8302,JDK2-2-2
7,8122,JDK2-2-2
8,8256,JDK2-2-2
9,8083,JDK2-2-2
10,7440,JDK2-2-2
11,7809,JDK2-2-2
12,8958,JDK2-2-2
13,8553,JDK2-2-2
14,8435,JDK2-2-2
15,8011,JDK2-2-2
16,8646,JDK2-2-2
1,8156,JDK1-1-3
2,8422,JDK1-1-3
3,8003,JDK1-1-3
4,8392,JDK1-1-3
5,8413,JDK1-1-3
6,8391,JDK1-1-3
7,7614,JDK1-1-3
8,8239,JDK1-1-3
9,8157,JDK1-1-3
10,8091,JDK1-1-3
11,8696,JDK1-1-3
12,8055,JDK1-1-3
13,7830,JDK1-1-3
14,8320,JDK1-1-3
15,8110,JDK1-1-3
16,7626,JDK1-1-3
1,8025,JDK3-2-3
2,8294,JDK3-2-3
3,8676,JDK3-2-3
4,8126,JDK3-2-3
5,8614,JDK3-2-3
6,8437,JDK3-2-3
7,7888,JDK3-2-3
8,7692,JDK3-2-3
9,8216,JDK3-2-3
10,7401,JDK3-2-3
11,7974,JDK3-2-3
12,7970,JDK3-2-3
13,7645,JDK3-2-3
14,7450,JDK3-2-3
15,8234,JDK3-2-3
16,8055,JDK3-2-3
1,8471,JDK5-4-4
2,8665,JDK5-4-4
3,8550,JDK5-4-4
4,8582,JDK5-4-4
5,8339,JDK5-4-4
6,8309,JDK5-4-4
7,8007,JDK5-4-4
8,8019,JDK5-4-4
9,8069,JDK5-4-4
10,8301,JDK5-4-4
11,8519,JDK5-4-4
12,8148,JDK5-4-4
13,8703,JDK5-4-4
14,8790,JDK5-4-4
15,7998,JDK5-4-4
16,8666,JDK5-4-4
1,7690,JDKF
2,8073,JDKF
3,7970,JDKF
4,8248,JDKF
5,8227,JDKF
6,8134,JDKF
7,8320,JDKF
8,7655,JDKF
9,7966,JDKF
10,7984,JDKF
11,8143,JDKF
12,8284,JDKF
13,7950,JDKF
14,8082,JDKF
15,8050,JDKF
16,7416,JDKF
1,8587,JDK2-3-2
2,8668,JDK2-3-2
3,8689,JDK2-3-2
4,8990,JDK2-3-2
5,8275,JDK2-3-2
6,8575,JDK2-3-2
7,8457,JDK2-3-2
8,8083,JDK2-3-2
9,8289,JDK2-3-2
10,8411,JDK2-3-2
11,8332,JDK2-3-2
12,8613,JDK2-3-2
13,8680,JDK2-3-2
14,8459,JDK2-3-2
15,8568,JDK2-3-2
16,8017,JDK2-3-2
1,8012,JDK5-6-7
2,7782,JDK5-6-7
3,8590,JDK5-6-7
4,8590,JDK5-6-7
5,8288,JDK5-6-7
6,8291,JDK5-6-7
7,7976,JDK5-6-7
8,7724,JDK5-6-7
9,7722,JDK5-6-7
10,8701,JDK5-6-7
11,8377,JDK5-6-7
12,8157,JDK5-6-7
13,8581,JDK5-6-7
14,8046,JDK5-6-7
15,7896,JDK5-6-7
16,8108,JDK5-6-7
