Run,Time,JVM
1,8293,JDKE
2,8748,JDKE
3,8551,JDKE
4,8698,JDKE
5,8655,JDKE
6,8423,JDKE
7,8575,JDKE
8,9178,JDKE
9,8312,JDKE
10,8671,JDKE
11,8949,JDKE
12,8434,JDKE
13,8899,JDKE
14,8570,JDKE
15,8601,JDKE
16,8523,JDKE
1,6563,JDK8-9-9
2,6534,JDK8-9-9
3,6520,JDK8-9-9
4,6524,JDK8-9-9
5,6341,JDK8-9-9
6,6560,JDK8-9-9
7,6328,JDK8-9-9
8,6568,JDK8-9-9
9,6438,JDK8-9-9
10,6357,JDK8-9-9
11,6285,JDK8-9-9
12,6559,JDK8-9-9
13,6407,JDK8-9-9
14,6421,JDK8-9-9
15,6413,JDK8-9-9
16,6435,JDK8-9-9
1,6934,JDK5-4-4
2,6972,JDK5-4-4
3,6931,JDK5-4-4
4,6851,JDK5-4-4
5,6921,JDK5-4-4
6,6722,JDK5-4-4
7,6941,JDK5-4-4
8,6850,JDK5-4-4
9,7358,JDK5-4-4
10,7028,JDK5-4-4
11,7090,JDK5-4-4
12,7125,JDK5-4-4
13,6970,JDK5-4-4
14,6977,JDK5-4-4
15,6783,JDK5-4-4
16,7011,JDK5-4-4
1,7558,JDK3-2-1
2,7528,JDK3-2-1
3,7398,JDK3-2-1
4,7376,JDK3-2-1
5,7625,JDK3-2-1
6,7675,JDK3-2-1
7,7755,JDK3-2-1
8,7911,JDK3-2-1
9,7386,JDK3-2-1
10,7610,JDK3-2-1
11,7571,JDK3-2-1
12,7302,JDK3-2-1
13,7269,JDK3-2-1
14,7369,JDK3-2-1
15,7326,JDK3-2-1
16,7504,JDK3-2-1
1,8653,JDK1-1-3
2,8699,JDK1-1-3
3,8578,JDK1-1-3
4,8750,JDK1-1-3
5,8837,JDK1-1-3
6,8645,JDK1-1-3
7,9043,JDK1-1-3
8,8594,JDK1-1-3
9,8987,JDK1-1-3
10,8889,JDK1-1-3
11,8819,JDK1-1-3
12,8898,JDK1-1-3
13,8947,JDK1-1-3
14,8830,JDK1-1-3
15,8758,JDK1-1-3
16,8626,JDK1-1-3
1,7437,JDK2-3-2
2,7484,JDK2-3-2
3,7559,JDK2-3-2
4,7808,JDK2-3-2
5,7390,JDK2-3-2
6,7365,JDK2-3-2
7,7713,JDK2-3-2
8,7437,JDK2-3-2
9,7970,JDK2-3-2
10,7390,JDK2-3-2
11,7591,JDK2-3-2
12,7566,JDK2-3-2
13,7418,JDK2-3-2
14,7467,JDK2-3-2
15,7285,JDK2-3-2
16,7566,JDK2-3-2
1,6999,JDK5-6-7
2,6996,JDK5-6-7
3,6892,JDK5-6-7
4,7062,JDK5-6-7
5,6994,JDK5-6-7
6,6877,JDK5-6-7
7,6897,JDK5-6-7
8,6966,JDK5-6-7
9,6787,JDK5-6-7
10,6918,JDK5-6-7
11,7046,JDK5-6-7
12,7153,JDK5-6-7
13,7002,JDK5-6-7
14,7162,JDK5-6-7
15,6923,JDK5-6-7
16,6957,JDK5-6-7
1,7480,JDK3-2-3
2,7466,JDK3-2-3
3,7515,JDK3-2-3
4,7578,JDK3-2-3
5,7581,JDK3-2-3
6,7808,JDK3-2-3
7,7621,JDK3-2-3
8,7678,JDK3-2-3
9,7514,JDK3-2-3
10,7518,JDK3-2-3
11,7413,JDK3-2-3
12,7582,JDK3-2-3
13,7725,JDK3-2-3
14,7729,JDK3-2-3
15,7699,JDK3-2-3
16,7371,JDK3-2-3
1,7462,JDK2-2-2
2,7445,JDK2-2-2
3,7372,JDK2-2-2
4,7359,JDK2-2-2
5,7694,JDK2-2-2
6,7966,JDK2-2-2
7,7549,JDK2-2-2
8,7382,JDK2-2-2
9,7445,JDK2-2-2
10,7690,JDK2-2-2
11,7587,JDK2-2-2
12,7484,JDK2-2-2
13,7584,JDK2-2-2
14,7574,JDK2-2-2
15,7658,JDK2-2-2
16,7400,JDK2-2-2
1,9731,JDKF
2,9319,JDKF
3,9480,JDKF
4,9044,JDKF
5,8996,JDKF
6,9205,JDKF
7,9452,JDKF
8,9385,JDKF
9,9240,JDKF
10,9108,JDKF
11,9525,JDKF
12,9158,JDKF
13,9565,JDKF
14,9098,JDKF
15,9259,JDKF
16,9476,JDKF
1,7344,JDK2-2-1
2,7606,JDK2-2-1
3,7488,JDK2-2-1
4,7281,JDK2-2-1
5,7541,JDK2-2-1
6,7616,JDK2-2-1
7,7397,JDK2-2-1
8,7369,JDK2-2-1
9,7562,JDK2-2-1
10,7486,JDK2-2-1
11,7343,JDK2-2-1
12,7733,JDK2-2-1
13,7430,JDK2-2-1
14,7467,JDK2-2-1
15,7533,JDK2-2-1
16,7531,JDK2-2-1
