Time,GC Util
0,0
0,0
387,90
387,90
578,64
578,64
582,8
582,8
690,85
690,85
823,86
823,86
865,87
865,87
985,88
985,88
1054,92
1054,92
1078,92
1078,92
1143,91
1143,91
1208,130
1208,130
1234,153
1234,153
1276,158
1276,158
1332,155
1332,155
1376,141
1376,141
1417,165
1417,165
1477,162
1477,162
1532,167
1532,167
1572,156
1572,156
1645,142
1645,142
1704,144
1704,144
1746,154
1746,154
1805,159
1805,159
1856,145
1856,145
1915,151
1915,151
1969,159
1969,159
2007,154
2007,154
2068,165
2068,165
2118,161
2118,161
2155,161
2155,161
2206,156
2206,156
2246,156
